dt,x,y,position,velocity,acceleration,jerk,heading
0.05,6.502000000000631,0.0,6.502499999999998,1.7,0.0,0.0,0.0
0.05,6.58700000000064,0.0,6.587499999999998,1.7,0.0,0.0,0.0
0.05,6.672000000000651,0.0,6.672499999999998,1.7,0.0,0.0,0.0
0.05,6.757000000000659,0.0,6.757499999999998,1.7,0.0,0.0,0.0
0.05,6.84200000000067,0.0,6.842499999999998,1.7,0.0,0.0,0.0
0.05,6.927000000000678,0.0,6.9274999999999975,1.7,0.0,0.0,0.0
0.05,7.012000000000688,0.0,7.0124999999999975,1.7,0.0,0.0,0.0
0.05,7.097000000000698,0.0,7.0974999999999975,1.7,0.0,0.0,0.0
0.05,7.1820000000007065,0.0,7.182499999999997,1.7,0.0,0.0,0.0
0.05,7.267000000000716,0.0,7.267499999999997,1.7,0.0,0.0,0.0
0.05,7.352000000000725,0.0,7.352499999999997,1.7,0.0,0.0,0.0
0.05,7.437000000000734,0.0,7.437499999999997,1.7,0.0,0.0,0.0
0.05,7.522000000000744,0.0,7.522499999999997,1.7,0.0,0.0,0.0
0.05,7.607000000000753,0.0,7.607499999999997,1.7,0.0,0.0,0.0
0.05,7.692000000000762,0.0,7.692499999999997,1.7,0.0,0.0,0.0
0.05,7.777000000000772,0.0,7.777499999999997,1.7,0.0,0.0,0.0
0.05,7.862000000000781,0.0,7.862499999999997,1.7,0.0,0.0,0.0
0.05,7.94700000000079,0.0,7.947499999999997,1.7,0.0,0.0,0.0
0.05,8.0320000000008,0.0,8.032499999999997,1.7,0.0,0.0,0.0
0.05,8.11700000000081,0.0,8.117499999999998,1.7,0.0,0.0,0.0
0.05,8.20200000000082,0.0,8.202499999999999,1.7,0.0,0.0,0.0
0.05,8.28700000000083,0.0,8.2875,1.7,0.0,0.0,0.0
0.05,8.372000000000842,0.0,8.3725,1.7,0.0,0.0,0.0
0.05,8.45700000000085,0.0,8.457500000000001,1.7,0.0,0.0,0.0
0.05,8.54200000000086,0.0,8.542500000000002,1.7,0.0,0.0,0.0
0.05,8.627000000000871,0.0,8.627500000000003,1.7,0.0,0.0,0.0
0.05,8.71200000000088,0.0,8.712500000000004,1.7,0.0,0.0,0.0
0.05,8.797000000000892,0.0,8.797500000000005,1.7,0.0,0.0,0.0
0.05,8.882000000000902,0.0,8.882500000000006,1.7,0.0,0.0,0.0
0.05,8.967000000000912,0.0,8.967500000000006,1.7,0.0,0.0,0.0
0.05,9.052000000000923,0.0,9.052500000000007,1.7,0.0,0.0,0.0
0.05,9.137000000000931,0.0,9.137500000000008,1.7,0.0,0.0,0.0
0.05,9.222000000000943,0.0,9.222500000000009,1.7,0.0,0.0,0.0
0.05,9.306132352942099,0.0,9.306632352941156,1.665294117645861,-0.694117647082777,-13.88235294165554,0.0
0.05,9.3868970588244,0.0,9.38739705882345,1.565294117645861,-2.0000000000000018,-26.117647058344495,0.0
0.05,9.462661764706702,0.0,9.463161764705742,1.4652941176458611,-1.9999999999999973,8.881784197001252E-14,0.0
0.05,9.533426470589003,0.0,9.533926470588035,1.365294117645861,-2.0000000000000018,-8.881784197001252E-14,0.0
0.05,9.599191176471303,0.0,9.599691176470328,1.2652941176458612,-1.9999999999999973,8.881784197001252E-14,0.0
0.05,9.659955882353604,0.0,9.660455882352622,1.165294117645861,-2.0000000000000018,-8.881784197001252E-14,0.0
0.05,9.715720588235904,0.0,9.716220588234915,1.0652941176458612,-1.9999999999999973,8.881784197001252E-14,0.0
0.05,9.766485294118201,0.0,9.766985294117207,0.9652941176458611,-2.0000000000000018,-8.881784197001252E-14,0.0
0.05,9.812250000000498,0.0,9.8127499999995,0.8652941176458611,-2.0000000000000018,0.0,0.0
0.05,9.853014705882796,0.0,9.853514705881793,0.7652941176458611,-1.9999999999999996,4.440892098500626E-14,0.0
0.05,9.888779411765093,0.0,9.889279411764086,0.6652941176458612,-1.9999999999999973,4.440892098500626E-14,0.0
0.05,9.919544117647389,0.0,9.920044117646379,0.5652941176458611,-2.0000000000000018,-8.881784197001252E-14,0.0
0.05,9.945308823529686,0.0,9.945808823528672,0.46529411764586115,-1.9999999999999996,4.440892098500626E-14,0.0
0.05,9.96607352941198,0.0,9.966573529410965,0.36529411764586117,-1.9999999999999996,0.0,0.0
0.05,9.981838235294276,0.0,9.982338235293259,0.26529411764586114,-2.0000000000000004,-1.7763568394002505E-14,0.0
0.05,9.992602941176571,0.0,9.993102941175552,0.16529411764586113,-2.0,8.881784197001252E-15,0.0
