timestamp,talonsrx_1__selected_sensor_velocity__pid_0_, talonsrx_1__output_voltage
1164,2391.0, 3.3027859237536656
1169,2388.0, 3.3027859237536656
1174,2388.0, 3.3027859237536656
1179,2388.0, 3.3027859237536656
1185,2388.0, 3.3027859237536656
1189,2389.0, 3.3027859237536656
1194,2389.0, 3.3027859237536656
1199,2389.0, 3.3027859237536656
1204,2389.0, 3.3027859237536656
1209,2392.0, 6.61852394916911
1214,2392.0, 6.61852394916911
1219,2392.0, 6.61852394916911
1224,2392.0, 6.61852394916911
1229,2499.0, 6.61852394916911
1234,2499.0, 6.61852394916911
1239,2499.0, 6.61852394916911
1244,2499.0, 6.61852394916911
1249,2838.0, 6.61852394916911
1254,2838.0, 6.61852394916911
1259,2838.0, 6.61852394916911
1264,2838.0, 6.61852394916911
1269,3313.0, 6.61852394916911
1274,3313.0, 6.61852394916911
1279,3313.0, 6.61852394916911
1284,3313.0, 6.61852394916911
1289,3838.0, 6.61852394916911
1294,3838.0, 6.61852394916911
1299,3838.0, 6.61852394916911
1304,3838.0, 6.61852394916911
1309,4387.0, 6.61852394916911
1314,4387.0, 6.61852394916911
1319,4387.0, 6.61852394916911
1324,4387.0, 6.61852394916911
1329,4843.0, 6.61852394916911
1334,4843.0, 6.61852394916911
1339,4843.0, 6.568572825024438
1344,4843.0, 6.568572825024438
1349,5082.0, 6.568572825024438
1354,5082.0, 6.568572825024438
1359,5082.0, 6.568572825024438
1364,5082.0, 6.568572825024438
1369,5183.0, 6.568572825024438
1374,5183.0, 6.568572825024438
1379,5183.0, 6.568572825024438
1384,5183.0, 6.568572825024438
1389,5253.0, 6.568572825024438
1394,5253.0, 6.568572825024438
1399,5253.0, 6.568572825024438
1404,5253.0, 6.568572825024438
1409,5283.0, 6.568572825024438
1414,5283.0, 6.568572825024438
1419,5283.0, 6.568572825024438
1424,5283.0, 6.568572825024438
1429,5309.0, 6.568572825024438
1434,5309.0, 6.568572825024438
1439,5309.0, 6.568572825024438
1444,5309.0, 6.568572825024438
1449,5316.0, 6.568572825024438
1454,5316.0, 6.568572825024438
1459,5316.0, 6.568572825024438
1464,5316.0, 6.568572825024438
1469,5334.0, 6.568572825024438
1475,5334.0, 6.568572825024438
1479,5334.0, 6.568572825024438
1484,5334.0, 6.568572825024438
1489,5330.0, 6.568572825024438
1494,5330.0, 6.568572825024438
1499,5330.0, 6.568572825024438
1504,5330.0, 6.568572825024438
1509,5349.0, 6.568572825024438
1514,5349.0, 6.568572825024438
1519,5349.0, 6.568572825024438
1524,5349.0, 6.568572825024438
1529,5338.0, 6.568572825024438
1534,5338.0, 6.568572825024438
1539,5338.0, 6.568572825024438
1544,5338.0, 6.568572825024438
1549,5351.0, 6.568572825024438
1554,5351.0, 6.568572825024438
1559,5351.0, 6.568572825024438
1564,5351.0, 6.568572825024438
1569,5354.0, 6.568572825024438
1574,5354.0, 6.568572825024438
1579,5354.0, 6.568572825024438
1584,5354.0, 6.568572825024438
1589,5357.0, 6.568572825024438
1594,5357.0, 6.568572825024438
1599,5357.0, 6.568572825024438
1604,5357.0, 6.568572825024438
1609,5351.0, 6.568572825024438
1614,5351.0, 6.568572825024438
1619,5351.0, 6.568572825024438
1624,5351.0, 6.568572825024438
1629,5362.0, 6.568572825024438
1634,5362.0, 6.568572825024438
1639,5362.0, 6.568572825024438
1644,5362.0, 6.568572825024438
1649,5364.0, 6.568572825024438
1654,5364.0, 6.568572825024438
1659,5364.0, 6.593548387096774
1664,5364.0, 6.593548387096774
1669,5359.0, 6.593548387096774
1674,5359.0, 6.593548387096774
1679,5359.0, 6.593548387096774
1684,5359.0, 6.593548387096774
1689,5369.0, 6.593548387096774
1694,5369.0, 6.593548387096774
1699,5369.0, 6.593548387096774
1704,5369.0, 6.593548387096774
1709,5360.0, 6.593548387096774
1714,5360.0, 6.593548387096774
1719,5360.0, 6.593548387096774
1724,5360.0, 6.593548387096774
1729,5365.0, 6.593548387096774
1734,5365.0, 6.593548387096774
1739,5365.0, 6.593548387096774
1744,5365.0, 6.593548387096774
1749,5357.0, 6.593548387096774
1754,5357.0, 6.593548387096774
1759,5357.0, 6.593548387096774
1764,5357.0, 6.593548387096774
1769,5363.0, 6.593548387096774
1774,5363.0, 6.593548387096774
1779,5363.0, 6.593548387096774
1784,5363.0, 6.593548387096774
1789,5359.0, 6.593548387096774
1794,5359.0, 6.593548387096774
1799,5359.0, 6.593548387096774
1804,5359.0, 6.593548387096774
1809,5375.0, 6.593548387096774
1814,5375.0, 6.593548387096774
1819,5375.0, 6.593548387096774
1824,5375.0, 6.593548387096774
1829,5365.0, 6.593548387096774
1834,5365.0, 6.593548387096774
1839,5365.0, 6.593548387096774
1844,5365.0, 6.593548387096774
1849,5372.0, 6.593548387096774
1854,5372.0, 6.593548387096774
1859,5372.0, 6.593548387096774
1864,5372.0, 6.593548387096774
1869,5372.0, 6.593548387096774
1874,5372.0, 6.593548387096774
1879,5372.0, 6.593548387096774
1884,5372.0, 6.593548387096774
1889,5381.0, 6.593548387096774
1894,5381.0, 6.593548387096774
1899,5381.0, 6.593548387096774
1904,5381.0, 6.593548387096774
1909,5364.0, 6.593548387096774
1914,5364.0, 6.593548387096774
1919,5364.0, 6.593548387096774
1924,5364.0, 6.593548387096774
1929,5381.0, 6.593548387096774
1934,5381.0, 6.593548387096774
1939,5381.0, 6.593548387096774
1944,5381.0, 6.593548387096774
1949,5374.0, 6.593548387096774
1954,5374.0, 6.593548387096774
1959,5374.0, 6.593548387096774
1964,5374.0, 6.593548387096774
1969,5375.0, 6.593548387096774
1974,5375.0, 6.593548387096774
1979,5375.0, 6.568572825024438
1984,5375.0, 6.568572825024438
1989,5368.0, 6.568572825024438
1994,5368.0, 6.568572825024438
1999,5368.0, 6.568572825024438
2004,5368.0, 6.568572825024438
2009,5377.0, 6.568572825024438
2014,5377.0, 6.568572825024438
2019,5377.0, 6.568572825024438
2024,5377.0, 6.568572825024438
2029,5372.0, 6.568572825024438
2034,5372.0, 6.568572825024438
2039,5372.0, 6.568572825024438
2044,5372.0, 6.568572825024438
2049,5371.0, 6.568572825024438
2054,5371.0, 6.568572825024438
2059,5371.0, 6.568572825024438
2064,5371.0, 6.568572825024438
2069,5368.0, 6.568572825024438
2074,5368.0, 6.568572825024438
2079,5368.0, 6.568572825024438
2084,5368.0, 6.568572825024438
2089,5362.0, 6.568572825024438
2094,5362.0, 6.568572825024438
2099,5362.0, 6.568572825024438
2104,5362.0, 6.568572825024438
2109,5371.0, 6.568572825024438
2114,5371.0, 6.568572825024438
2119,5371.0, 6.568572825024438
2124,5371.0, 6.568572825024438
2129,5368.0, 6.568572825024438
2134,5368.0, 6.568572825024438
2139,5368.0, 6.593548387096774
2144,5368.0, 6.593548387096774
2149,5372.0, 6.593548387096774
2154,5372.0, 6.593548387096774
2159,5372.0, 6.593548387096774
2164,5372.0, 6.593548387096774
2169,5367.0, 6.593548387096774
2174,5367.0, 6.593548387096774
2179,5367.0, 6.593548387096774
2184,5367.0, 6.593548387096774
2189,5377.0, 6.593548387096774
2194,5377.0, 6.593548387096774
2199,5377.0, 6.593548387096774
2204,5377.0, 6.593548387096774
2209,5372.0, 6.593548387096774
2214,5372.0, 6.593548387096774
2219,5372.0, 6.593548387096774
2224,5372.0, 6.593548387096774
2229,5377.0, 6.593548387096774
2234,5377.0, 6.593548387096774
2239,5377.0, 6.593548387096774
2244,5377.0, 6.593548387096774
2249,5370.0, 3.2903225806451615
2254,5370.0, 3.2903225806451615
2259,5370.0, 3.2903225806451615
2264,5370.0, 3.2903225806451615
2269,5308.0, 3.2903225806451615
2274,5308.0, 3.2903225806451615
2279,5308.0, 3.2903225806451615
2284,5308.0, 3.2903225806451615
2289,5057.0, 3.2903225806451615
2294,5057.0, 3.2903225806451615
2299,5057.0, 3.2903225806451615
2304,5057.0, 3.3152492668621703
2309,4720.0, 3.3152492668621703
2314,4720.0, 3.3152492668621703
2319,4720.0, 3.3152492668621703
2324,4720.0, 3.3152492668621703
2329,4318.0, 3.3152492668621703
2334,4318.0, 3.3152492668621703
