timestamp,trajectory_command__traj__x,trajectory_command__traj__y,trajectory_command__traj__vel,trajectory_command__traj__accel,trajectory_command__traj__degrees,trajectory_command__traj__time,trajectory_command__hc_vy,trajectory_command__hc_vx,trajectory_command__hc_omega,drivesubsystem__odometry_x,drivesubsystem__odometry_y,drivesubsystem__gyro_rotation2d__deg_,drivesubsystem__odometry_rotation2d__deg_,talonfx_10__closed_loop_setpoint__pid_0_,talonfx_11__closed_loop_setpoint__pid_0_,talonfx_12__closed_loop_setpoint__pid_0_,talonfx_13__closed_loop_setpoint__pid_0_
2084,0.04719242247571209,0.002971954309784238,0.6152200000000301,3.9999999999999996,6.949487020529272,0.15380500000000757,0.09138330801387956,0.8146766132619286,0.003490655175037296,0.01554796187011967,3.8618602211355345E-4,0.12999916076660156,0.07999992370605469,3668.0,-3680.0,-3667.0,3679.0
2089,0.04719242247571209,0.002971954309784238,0.6152200000000301,3.9999999999999996,6.949487020529272,0.15380500000000757,0.09138330801387956,0.8146766132619286,0.003490655175037296,0.01554796187011967,3.8618602211355345E-4,0.09000015258789062,0.07999992370605469,3668.0,-3680.0,-3667.0,3679.0
2094,0.04719242247571209,0.002971954309784238,0.6152200000000301,3.9999999999999996,6.949487020529272,0.15380500000000757,0.09138330801387956,0.8146766132619286,0.003490655175037296,0.01554796187011967,3.8618602211355345E-4,0.09000015258789062,0.07999992370605469,3668.0,-3680.0,-3667.0,3679.0
2099,0.06014851818757521,0.0048352853695966475,0.6951720000000202,4.000000000000002,8.904903053691179,0.1737930000000051,0.13459617323338846,0.9102134513111653,0.0017453691994106816,0.024786316679570666,9.0419562643357E-4,0.09000015258789062,0.04000091552734377,4120.0,-4126.0,-4120.0,4126.0
2104,0.06014851818757521,0.0048352853695966475,0.6951720000000202,4.000000000000002,8.904903053691179,0.1737930000000051,0.13459617323338846,0.9102134513111653,0.0017453691994106816,0.024786316679570666,9.0419562643357E-4,0.06999969482421875,0.04000091552734377,4120.0,-4126.0,-4120.0,4126.0
2109,0.06014851818757521,0.0048352853695966475,0.6951720000000202,4.000000000000002,8.904903053691179,0.1737930000000051,0.13459617323338846,0.9102134513111653,0.0017453691994106816,0.024786316679570666,9.0419562643357E-4,0.06999969482421875,0.04000091552734377,4120.0,-4126.0,-4120.0,4126.0
2115,0.06014851818757521,0.0048352853695966475,0.6951720000000202,4.000000000000002,8.904903053691179,0.1737930000000051,0.13459617323338846,0.9102134513111653,0.0017453691994106816,0.024786316679570666,9.0419562643357E-4,0.06999969482421875,0.04000091552734377,4120.0,-4126.0,-4120.0,4126.0
2120,0.07470822009559848,0.007282382368258084,0.7754839999999965,4.000000000000002,11.114935716987347,0.19387099999999918,0.18591075712975558,0.9979254920714423,8.72684599705341E-4,0.03659607305453799,0.0018872384102243678,0.06999969482421875,0.020000457763671892,4547.0,-4550.0,-4547.0,4550.0
2124,0.07470822009559848,0.007282382368258084,0.7754839999999965,4.000000000000002,11.114935716987347,0.19387099999999918,0.18591075712975558,0.9979254920714423,8.72684599705341E-4,0.03659607305453799,0.0018872384102243678,0.06999969482421875,0.020000457763671892,4547.0,-4550.0,-4547.0,4550.0
2129,0.07470822009559848,0.007282382368258084,0.7754839999999965,4.000000000000002,11.114935716987347,0.19387099999999918,0.18591075712975558,0.9979254920714423,8.72684599705341E-4,0.03659607305453799,0.0018872384102243678,0.06999969482421875,0.020000457763671892,4547.0,-4550.0,-4547.0,4550.0
